,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_test_error,std_test_error,delta
0,0.020305824279785157,0.00019489772581176006,0.0066967010498046875,0.00011460064628922902,0.1,1,"{'C': 0.1, 'degree': 1}",0.52734375,0.49609375,0.53515625,0.51171875,0.4823529411764706,0.5105330882352941,0.01945723215161216,21,-0.5105330882352941,0.01945723215161216,0.01945723215161216
1,0.020182180404663085,0.00012776063055483248,0.006538248062133789,9.90333036595467e-05,0.1,2,"{'C': 0.1, 'degree': 2}",0.52734375,0.49609375,0.53515625,0.51171875,0.4823529411764706,0.5105330882352941,0.01945723215161216,21,-0.5105330882352941,0.01945723215161216,0.01945723215161216
2,0.020563030242919923,0.000731765473423581,0.006525421142578125,5.4357051797078164e-05,0.1,3,"{'C': 0.1, 'degree': 3}",0.52734375,0.49609375,0.53515625,0.51171875,0.4823529411764706,0.5105330882352941,0.01945723215161216,21,-0.5105330882352941,0.01945723215161216,0.01945723215161216
3,0.020032787322998048,5.27334469806289e-05,0.006511116027832031,0.00010687723863028548,0.1,4,"{'C': 0.1, 'degree': 4}",0.52734375,0.49609375,0.53515625,0.51171875,0.4823529411764706,0.5105330882352941,0.01945723215161216,21,-0.5105330882352941,0.01945723215161216,0.01945723215161216
4,0.020326566696166993,0.00022291356343349513,0.006599569320678711,8.175297636928341e-05,0.1,5,"{'C': 0.1, 'degree': 5}",0.52734375,0.49609375,0.53515625,0.51171875,0.4823529411764706,0.5105330882352941,0.01945723215161216,21,-0.5105330882352941,0.01945723215161216,0.01945723215161216
5,0.020714473724365235,0.0002008594332974376,0.006491994857788086,4.553997075249661e-05,0.3,1,"{'C': 0.3, 'degree': 1}",0.51953125,0.5078125,0.53125,0.51171875,0.48627450980392156,0.5113174019607843,0.014861814356180218,16,-0.5113174019607843,0.014861814356180218,0.014861814356180218
6,0.020734643936157225,0.00017550073066888248,0.006571578979492188,3.933181117823251e-05,0.3,2,"{'C': 0.3, 'degree': 2}",0.51953125,0.5078125,0.53125,0.51171875,0.48627450980392156,0.5113174019607843,0.014861814356180218,16,-0.5113174019607843,0.014861814356180218,0.014861814356180218
7,0.020636510848999024,0.0003130347656666881,0.0065556526184082035,0.0001026904662618059,0.3,3,"{'C': 0.3, 'degree': 3}",0.51953125,0.5078125,0.53125,0.51171875,0.48627450980392156,0.5113174019607843,0.014861814356180218,16,-0.5113174019607843,0.014861814356180218,0.014861814356180218
8,0.020470952987670897,0.0005705669054178497,0.006409692764282227,0.0003517300145939241,0.3,4,"{'C': 0.3, 'degree': 4}",0.51953125,0.5078125,0.53125,0.51171875,0.48627450980392156,0.5113174019607843,0.014861814356180218,16,-0.5113174019607843,0.014861814356180218,0.014861814356180218
9,0.020177030563354494,0.00016391186974016412,0.006190204620361328,4.24183036633126e-05,0.3,5,"{'C': 0.3, 'degree': 5}",0.51953125,0.5078125,0.53125,0.51171875,0.48627450980392156,0.5113174019607843,0.014861814356180218,16,-0.5113174019607843,0.014861814356180218,0.014861814356180218
10,0.02047595977783203,0.00027628253563713315,0.006173610687255859,4.829374158065362e-05,0.5,1,"{'C': 0.5, 'degree': 1}",0.515625,0.52734375,0.546875,0.515625,0.4823529411764706,0.5175643382352941,0.020986263774023867,11,-0.5175643382352941,0.020986263774023867,0.020986263774023867
11,0.020520734786987304,0.00018954048515237778,0.006161355972290039,3.9022239131857254e-05,0.5,2,"{'C': 0.5, 'degree': 2}",0.515625,0.52734375,0.546875,0.515625,0.4823529411764706,0.5175643382352941,0.020986263774023867,11,-0.5175643382352941,0.020986263774023867,0.020986263774023867
12,0.020335674285888672,0.00012187485767830546,0.006149673461914062,3.9925424624953575e-05,0.5,3,"{'C': 0.5, 'degree': 3}",0.515625,0.52734375,0.546875,0.515625,0.4823529411764706,0.5175643382352941,0.020986263774023867,11,-0.5175643382352941,0.020986263774023867,0.020986263774023867
13,0.020502281188964844,0.0002600341894399188,0.006154394149780274,3.9351519145093474e-05,0.5,4,"{'C': 0.5, 'degree': 4}",0.515625,0.52734375,0.546875,0.515625,0.4823529411764706,0.5175643382352941,0.020986263774023867,11,-0.5175643382352941,0.020986263774023867,0.020986263774023867
14,0.0203887939453125,0.00016773443641376776,0.006148052215576172,4.4434059777278723e-05,0.5,5,"{'C': 0.5, 'degree': 5}",0.515625,0.52734375,0.546875,0.515625,0.4823529411764706,0.5175643382352941,0.020986263774023867,11,-0.5175643382352941,0.020986263774023867,0.020986263774023867
15,0.020623302459716795,0.0001851019325163455,0.006232452392578125,7.447326330926518e-05,0.75,1,"{'C': 0.75, 'degree': 1}",0.51953125,0.51953125,0.546875,0.52734375,0.48627450980392156,0.5199111519607843,0.01956530071980965,6,-0.5199111519607843,0.01956530071980965,0.01956530071980965
16,0.02063021659851074,0.0001482795356214256,0.0061607837677001955,5.666852036245084e-05,0.75,2,"{'C': 0.75, 'degree': 2}",0.51953125,0.51953125,0.546875,0.52734375,0.48627450980392156,0.5199111519607843,0.01956530071980965,6,-0.5199111519607843,0.01956530071980965,0.01956530071980965
17,0.020417165756225587,5.797139783952225e-05,0.006151390075683594,4.0205714807016324e-05,0.75,3,"{'C': 0.75, 'degree': 3}",0.51953125,0.51953125,0.546875,0.52734375,0.48627450980392156,0.5199111519607843,0.01956530071980965,6,-0.5199111519607843,0.01956530071980965,0.01956530071980965
18,0.020675182342529297,0.00010519604827045297,0.006330728530883789,6.888754054840506e-05,0.75,4,"{'C': 0.75, 'degree': 4}",0.51953125,0.51953125,0.546875,0.52734375,0.48627450980392156,0.5199111519607843,0.01956530071980965,6,-0.5199111519607843,0.01956530071980965,0.01956530071980965
19,0.020656299591064454,0.00024918696897189077,0.006174993515014648,5.6973440726421414e-05,0.75,5,"{'C': 0.75, 'degree': 5}",0.51953125,0.51953125,0.546875,0.52734375,0.48627450980392156,0.5199111519607843,0.01956530071980965,6,-0.5199111519607843,0.01956530071980965,0.01956530071980965
20,0.02073845863342285,9.34219525852399e-05,0.006134748458862305,3.1561073092486184e-05,1,1,"{'C': 1, 'degree': 1}",0.5234375,0.51953125,0.546875,0.5234375,0.49019607843137253,0.5206954656862746,0.018066397218745478,1,-0.5206954656862746,0.018066397218745478,0.018066397218745478
21,0.020952415466308594,0.0003835572820325456,0.006113481521606445,2.4707988103942244e-05,1,2,"{'C': 1, 'degree': 2}",0.5234375,0.51953125,0.546875,0.5234375,0.49019607843137253,0.5206954656862746,0.018066397218745478,1,-0.5206954656862746,0.018066397218745478,0.018066397218745478
22,0.020721435546875,0.00028127261479785824,0.0061127662658691405,2.993170310771575e-05,1,3,"{'C': 1, 'degree': 3}",0.5234375,0.51953125,0.546875,0.5234375,0.49019607843137253,0.5206954656862746,0.018066397218745478,1,-0.5206954656862746,0.018066397218745478,0.018066397218745478
23,0.020769596099853516,0.00012941908631490694,0.0061229228973388675,5.399022283342385e-05,1,4,"{'C': 1, 'degree': 4}",0.5234375,0.51953125,0.546875,0.5234375,0.49019607843137253,0.5206954656862746,0.018066397218745478,1,-0.5206954656862746,0.018066397218745478,0.018066397218745478
24,0.020905399322509767,0.00020586190602442687,0.006128120422363281,3.4994260045744314e-05,1,5,"{'C': 1, 'degree': 5}",0.5234375,0.51953125,0.546875,0.5234375,0.49019607843137253,0.5206954656862746,0.018066397218745478,1,-0.5206954656862746,0.018066397218745478,0.018066397218745478
